branch_,radius_spec,year_quarter,new_business_count,treatment_date,treatment_quarter,post
"Daley, Richard M.",0.25mi,2005Q1,1,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2005Q2,6,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2005Q3,4,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2005Q4,1,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2006Q1,5,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2006Q2,5,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2006Q3,3,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2006Q4,3,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2007Q1,0,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2007Q2,2,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2007Q3,1,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2007Q4,2,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2008Q1,5,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2008Q2,9,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2008Q3,3,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2008Q4,1,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2009Q1,3,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2009Q2,5,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2009Q3,5,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2009Q4,4,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2010Q1,1,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2010Q2,0,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2010Q3,0,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2010Q4,0,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2011Q1,7,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2011Q2,4,2011-07-08,2011Q3,0
"Daley, Richard M.",0.25mi,2011Q3,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2011Q4,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2012Q1,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2012Q2,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2012Q3,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2012Q4,19,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2013Q1,4,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2013Q2,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2013Q3,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2013Q4,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2014Q1,9,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2014Q2,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2014Q3,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2014Q4,6,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2015Q1,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2015Q2,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2015Q3,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2015Q4,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2016Q1,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2016Q2,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2016Q3,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2016Q4,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2017Q1,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2017Q2,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2017Q3,1,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2017Q4,5,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2018Q1,0,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2018Q2,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2018Q3,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2018Q4,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2019Q1,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2019Q2,3,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2019Q3,2,2011-07-08,2011Q3,1
"Daley, Richard M.",0.25mi,2019Q4,4,2011-07-08,2011Q3,1
